Info,Department,Attendance,Performance,Staff,Achievements,Perf_rate
01-Bob,TD,27,24,TD-Bob,88.89,C
02-Lily,TD,25,23,TD-Lily,92.0,C
03-Ivy,TD,24,15,TD-Ivy,62.5,F
04-Alan,TD,30,24,TD-Alan,80.0,80.0
05-John,TD,22,19,TD-John,86.36,C
07-Iris,TD,23,22,TD-Iris,95.65,C
09-Tony,TD,24,21,TD-Tony,87.5,C
10-Eric,TD,23,23,TD-Eric,100.0,100.0
11-Jim,TD,22,21,TD-Jim,95.45,C
14-Mandy,TD,24,25,TD-Mandy,104.17,B
01-Tina,MD,22,27,MD-Tina,122.73,A
02-Sara,MD,22,28,MD-Sara,127.27,A
03-Diana,MD,22,24,MD-Diana,109.09,B
05-Kelly,MD,26,26,MD-Kelly,100.0,100.0
06-Leo,MD,22,24,MD-Leo,109.09,B
07-Tom,MD,23,22,MD-Tom,95.65,C
01-Mark,SD,23,18,SD-Mark,78.26,D
03-William,SD,29,20,SD-William,68.97,F
04-Gary,SD,26,23,SD-Gary,88.46,C
07-Evan,SD,27,21,SD-Evan,77.78,D
08-Hardy,SD,22,18,SD-Hardy,81.82,C
09-Betty,SD,25,21,SD-Betty,84.0,C
10-Polly,SD,28,22,SD-Polly,78.57,D
