Attendance,Performance,Staff,Achievements,Perf_rate
27,24,TD-Bob,88.89,C
25,23,TD-Lily,92.0,C
24,15,TD-Ivy,62.5,F
30,24,TD-Alan,80.0,80.0
22,19,TD-John,86.36,C
23,22,TD-Iris,95.65,C
24,21,TD-Tony,87.5,C
23,23,TD-Eric,100.0,100.0
22,21,TD-Jim,95.45,C
24,25,TD-Mandy,104.17,B
22,27,MD-Tina,122.73,A
22,28,MD-Sara,127.27,A
22,24,MD-Diana,109.09,B
26,26,MD-Kelly,100.0,100.0
22,24,MD-Leo,109.09,B
23,22,MD-Tom,95.65,C
23,18,SD-Mark,78.26,D
29,20,SD-William,68.97,F
26,23,SD-Gary,88.46,C
27,21,SD-Evan,77.78,D
22,18,SD-Hardy,81.82,C
25,21,SD-Betty,84.0,C
28,22,SD-Polly,78.57,D
