Staff,Perf_rate,Achievements,Attendance,Performance
TD-Bob,C,88.89,27,24
TD-Lily,C,92.0,25,23
TD-Ivy,F,62.5,24,15
TD-Alan,80.0,80.0,30,24
TD-John,C,86.36,22,19
TD-Iris,C,95.65,23,22
TD-Tony,C,87.5,24,21
TD-Eric,100.0,100.0,23,23
TD-Jim,C,95.45,22,21
TD-Mandy,B,104.17,24,25
MD-Tina,A,122.73,22,27
MD-Sara,A,127.27,22,28
MD-Diana,B,109.09,22,24
MD-Kelly,100.0,100.0,26,26
MD-Leo,B,109.09,22,24
MD-Tom,C,95.65,23,22
SD-Mark,D,78.26,23,18
SD-William,F,68.97,29,20
SD-Gary,C,88.46,26,23
SD-Evan,D,77.78,27,21
SD-Hardy,C,81.82,22,18
SD-Betty,C,84.0,25,21
SD-Polly,D,78.57,28,22
