Model,Launch_Date,Launch_Year,Sale_Price,Resale_Num,Resale_Price
Audi_A4,2015/12/10,2015,27.28,930,23.54
Audi_A6,2016/1/1,2016,41.53,672,31.73
Audi_A8,2016/2/10,2016,87.98,117,60.72
Audi_S3,2016/7/10,2016,39.98,35,20.83
Audi_S4,06/15/2018,06,45.98,14,27.93
Audi_S5,09/10/2015,09,67.9,5,35.92
BMW_320i,2016/9/10,2016,32,731,25.93
BMW_325Li,2016/9/10,2016,32.59,842,26.01
BMW_330i,2016/9/10,2016,45.2,521,30.45
BMW_520Li,2016/8/15,2016,43.56,213,34.98
BMW_528Li,2016/7/15,2016,55.06,153,43.72
BMW_535Li,2016/7/15,2016,68.86,107,49.92
Buick_Regal,2014/10/10,2014,18.99,1445,12.83
Buick_Encore,2016/6/20,2016,13.99,1825,8.94
Buick_Park Avenue,2011/5/10,2011,38.8,22,14.99
Buick_Larcosse,2016/3/10,2016,22.58,1295,16.82
Honda_Civic,2016/11/10,2016,11.59,3924,7.83
Honda_Accord,2016/9/20,2016,23.98,4041,17.87
Honda_Unknown,2016/3/10,2016,17.98,3746,14.82
Honda_Passport,2015/3/10,2015,23.98,2173,16.93
Honda_Odyssey,2015/7/10,2015,22.98,384,14.94
Ford_Focus,2016/8/1,2016,13.08,1255,7.83
Ford_Mustang,11/10/2015,11,76.4,17,29.83
Ford_Mondeo,2016/11/20,2016,17.98,983,14.53
Mercedes_C180,2016/5/10,2016,31.48,586,21.86
Mercedes_C200,2016/5/10,2016,32.58,963,23.72
Mercedes_GLC200,2015/11/15,2015,39.6,863,30.84
Mercedes_Unknown,2015/11/15,2015,42.8,720,31.85
Mercedes_GLC300,2015/11/15,2015,48.6,326,31.41
Mercedes_E200L,2016/8/10,2016,43.68,89,33.82
Mercedes_E300L,2016/8/10,2016,47.48,63,35.95
