Info,Department,Attendance,Performance,Staff
01-Bob,TD,27,24,Bob
02-Lily,TD,25,23,Lily
03-Ivy,TD,24,15,Ivy
04-Alan,TD,30,24,Alan
05-John,TD,22,19,John
07-Iris,TD,23,22,Iris
08-David,TD,14,17,David
09-Tony,TD,24,21,Tony
10-Eric,TD,23,23,Eric
11-Jim,TD,22,21,Jim
12-Ken,TD,15,12,Ken
13-Judy,TD,13,10,Judy
14-Mandy,TD,24,25,Mandy
01-Tina,MD,22,27,Tina
02-Sara,MD,22,28,Sara
03-Diana,MD,22,24,Diana
04-Amy,MD,19,20,Amy
05-Kelly,MD,26,26,Kelly
06-Leo,MD,22,24,Leo
07-Tom,MD,23,22,Tom
01-Mark,SD,23,18,Mark
03-William,SD,29,20,William
04-Gary,SD,26,23,Gary
06-Marlon,SD,14,10,Marlon
07-Evan,SD,27,21,Evan
08-Hardy,SD,22,18,Hardy
09-Betty,SD,25,21,Betty
10-Polly,SD,28,22,Polly
