Info,Department,Attendance,Performance,ChangeVis_Info,ChangeVis_Department,ChangeVis_Attendance,ChangeVis_Performance
01-Bob,Technical Department,27,24,0,0,0,0
02-Lily,Technical Department,25,23,0,0,0,0
03-Ivy,Technical Department,24,15,0,0,0,0
04-Alan,Technical Department,26,24,0,0,0,0
05-John,Technical Department,22,19,0,0,0,0
06-Tom,Technical Department,32,24,0,0,0,0
07-Iris,Technical Department,23,22,0,0,0,0
08-David,Technical Department,14,17,0,0,0,0
09-Tony,Technical Department,24,21,0,0,0,0
10-Eric,Technical Department,23,23,0,0,0,0
11-Jim,Technical Department,22,21,0,0,0,0
12-Ken,Technical Department,15,12,0,0,0,0
13-Judy,Technical Department,13,10,0,0,0,0
14-Mandy,Technical Department,24,25,0,0,0,0
01-Tina,Manage Department,22,27,0,0,0,0
02-Sara,Manage Department,22,28,0,0,0,0
03-Diana,Manage Department,22,24,0,0,0,0
04-Amy,Manage Department,19,20,0,0,0,0
05-Kelly,Manage Department,26,26,0,0,0,0
06-Leo,Manage Department,22,24,0,0,0,0
07-Tom,Manage Department,23,22,0,0,0,0
01-Mark,Sales Department,23,18,0,0,0,0
02-Nick,Sales Department,35,22,0,0,0,0
03-William,Sales Department,29,20,0,0,0,0
04-Gary,Sales Department,26,23,0,0,0,0
05-Peter,Sales Department,31,25,0,0,0,0
06-Marlon,Sales Department,14,10,0,0,0,0
07-Evan,Sales Department,27,21,0,0,0,0
08-Hardy,Sales Department,22,18,0,0,0,0
09-Betty,Sales Department,25,21,0,0,0,0
10-Polly,Sales Department,28,22,0,0,0,0
